Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C24, C35, C46",0603,5,47n,
"C10, C19, C30, C41, C52",0603,5,22u,C59461
"C11, C12, C16, C22, C23, C27, C33, C34, C38, C44, C45, C49, C55, C6, C9",0402,15,100n,C307331
"C14, C15, C2, C25, C26, C36, C37, C47, C48, C8",0402,10,1u,
"C17, C28, C39, C50, C7",0603,5,10u,C96446
"C18, C20, C21, C29, C3, C31, C32, C4, C40, C42, C43, C5, C51, C53, C54",0402,15,30p,C1570
"C56, C57, C58, C59, C60",C_Elec_8x6.2,5,100u,C178539
"J10, J2, J4, J6, J8",Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal,5,Conn_01x06_Socket,C99277
"L1, L2, L3, L4, L5",0805,5,22u,C32375
"R1, R10, R11, R13, R14, R15, R17, R18, R19, R2, R3, R5, R6, R7, R9",0402,15,1k,C11702
"R12, R16, R20, R4, R8",0402,5,10k,C25744
"U1, U2, U3, U4, U5",VQFN-40,5,~,
