Designator,Mid X,Mid Y,Rotation,Layer
C1,80.899,-111.804,270.0,top
C10,80.137,-107.232,180.0,top
C11,98.171,-125.857,0.0,top
C12,117.856,-105.454,270.0,top
C13,110.49,-111.804,270.0,top
C14,120.142,-114.344,270.0,top
C15,110.744,-113.836,180.0,top
C16,111.506,-117.856,135.0,top
C17,110.236,-118.364,135.0,top
C18,111.76,-106.47,90.0,top
C19,109.728,-107.232,180.0,top
C2,81.153,-113.836,180.0,top
C20,113.792,-106.47,90.0,top
C21,115.824,-105.454,90.0,top
C22,128.524,-125.857,0.0,top
C23,124.885,-108.585001,0.0,top
C24,131.235001,-115.951001,0.0,top
C25,133.775,-106.299001,0.0,top
C26,133.267,-115.697001,270.0,top
C27,137.287,-114.935001,225.0,top
C28,137.795,-116.205001,225.0,top
C29,125.901,-114.681001,180.0,top
C3,82.169,-106.47,90.0,top
C30,126.663,-116.713001,270.0,top
C31,125.901,-112.649001,180.0,top
C32,124.885,-110.617001,180.0,top
C33,145.415,-98.298,90.0,top
C34,132.321,-82.019,90.0,top
C35,139.687,-75.668999,90.0,top
C36,130.035,-73.129,90.0,top
C37,139.433,-73.637,0.0,top
C38,138.671,-69.617,315.0,top
C39,139.941,-69.109,315.0,top
C4,84.201,-106.47,90.0,top
C40,138.417,-81.003,270.0,top
C41,140.449,-80.241,0.0,top
C42,136.384999,-81.003,270.0,top
C43,134.353,-82.019,270.0,top
C44,122.174,-61.722,180.0,top
C45,102.77,-82.019,90.0,top
C46,110.135999,-75.669,90.0,top
C47,100.484,-73.129,90.0,top
C48,109.882,-73.637,0.0,top
C49,109.12,-69.617,315.0,top
C5,86.233,-105.454,90.0,top
C50,110.39,-69.109,315.0,top
C51,108.866,-81.003,270.0,top
C52,110.898,-80.241,0.0,top
C53,106.834,-81.003,270.0,top
C54,104.802,-82.019,270.0,top
C55,92.583,-61.722,180.0,top
C56,93.472,-73.66,90.0,top
C57,121.412,-74.93,270.0,top
C58,146.456587,-65.430587,135.0,top
C59,145.034,-122.682,45.0,top
C6,81.915,-117.856,135.0,top
C60,100.076,-113.0695,90.0,top
C7,80.645,-118.364,135.0,top
C8,90.551,-114.344,270.0,top
C9,88.265,-105.454,270.0,top
J10,90.13,-57.269,180.0,top
J2,100.711,-130.175,0.0,top
J4,131.064,-130.175,0.0,top
J6,149.779,-95.758,90.0,top
J8,119.634,-57.277,180.0,top
L1,79.883,-109.264,180.0,top
L2,109.474,-109.264,180.0,top
L3,128.695,-116.967001,270.0,top
L4,140.703,-78.209,0.0,top
L5,111.152,-78.209,0.0,top
R1,83.185,-106.47,270.0,top
R10,124.885,-111.633001,0.0,top
R11,124.885,-109.601,0.0,top
R12,135.299001,-105.791001,270.0,top
R13,137.401,-81.003,90.0,top
R14,135.368999,-82.019,90.0,top
R15,133.336999,-82.019,90.0,top
R16,129.527,-71.604999,0.0,top
R17,107.85,-81.003,90.0,top
R18,105.818,-82.019,90.0,top
R19,103.786,-82.019,90.0,top
R2,85.217,-105.454,270.0,top
R20,99.976,-71.605001,0.0,top
R3,87.249,-105.454,270.0,top
R4,91.059,-115.868,180.0,top
R5,112.776,-106.47,270.0,top
R6,114.808,-105.454,270.0,top
R7,116.84,-105.454,270.0,top
R8,120.65,-115.868,180.0,top
R9,125.901,-113.665001,0.0,top
U1,86.233,-113.328,0.0,top
U2,115.824,-113.328,0.0,top
U3,132.759,-110.617001,90.0,top
U4,134.353,-74.145,180.0,top
U5,104.802,-74.145,180.0,top
